                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                       "r26.4.1"          2.0000000000000000E+000          1.0000000000000000E+000          4.0000000000000000E+000                       "gfortran"                         "15.2.0"            "x86_64-linux-26.3.2"                       "20260610" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.3155014557194529E+005          3.9999998559284142E+000          1.5293898117917079E+001          6.4480009323051107E+001          1.2896001864610221E+002          6.7293799802754952E+000          4.9061008298368352E+000         -7.5753511750619085E-001         -8.1871860923514683E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7283569841346706E+052         -7.8904725057633821E+031          0.0000000000000000E+000         -7.8904725057633821E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              10          4.5888900380152807E+005          3.9999994974321709E+000          1.5293897204116195E+001          6.4480011249371373E+001          1.2896002249874275E+002          6.7293795781992340E+000          4.9061005367003672E+000         -7.5750325630734316E-001         -8.1871289460112506E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7283569026258548E+052         -7.8904738808283512E+031          0.0000000000000000E+000         -7.8904738808283512E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              15          1.2734128315113636E+006          3.9999986053785910E+000          1.5293894930286534E+001          6.4480016042674777E+001          1.2896003208534955E+002          6.7293785777045478E+000          4.9060998072828239E+000         -7.5757120084545315E-001         -8.1868841618225541E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7283566998057691E+052         -7.8904773024322044E+031          0.0000000000000000E+000         -7.8904773024322044E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              20          3.3002087624783013E+006          3.9999963856625764E+000          1.5293889272266789E+001          6.4480027969960361E+001          1.2896005593992072E+002          6.7293760881518843E+000          4.9060979922573047E+000         -7.5766710787221336E-001         -8.1862054292077813E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7283561951240779E+052         -7.8904858164906830E+031          0.0000000000000000E+000         -7.8904858164906830E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              25          8.3435256134219514E+006          3.9999908622910403E+000          1.5293875193278710E+001          6.4480057648943756E+001          1.2896011529788751E+002          6.7293698933374699E+000          4.9060934758851831E+000         -7.5745009215729053E-001         -8.1849426434351624E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7283549393119528E+052         -7.8905070022745186E+031          0.0000000000000000E+000         -7.8905070022745186E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              30          2.0892911799962051E+007          3.9999771183270361E+000          1.5293840160100263E+001          6.4480131500247580E+001          1.2896026300049516E+002          6.7293544785904968E+000          4.9060822376577189E+000         -7.5634639489321898E-001         -8.1832588803546913E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7283518144335624E+052         -7.8905597197907121E+031          0.0000000000000000E+000         -7.8905597197907121E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              35          5.2119800435653508E+007          3.9999429186484048E+000          1.5293752985407611E+001          6.4480315268994232E+001          1.2896063053798846E+002          6.7293161213563257E+000          4.9060542730519234E+000         -7.5307712231164436E-001         -8.1805405373276752E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7283440386373166E+052         -7.8906909009773202E+031          0.0000000000000000E+000         -7.8906909009773202E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              40          1.1940560421406959E+008          3.9998692257665276E+000          1.5293565142028205E+001          6.4480711257863447E+001          1.2896142251572689E+002          6.7292334694733951E+000          4.9059940151273258E+000         -7.4564135839802304E-001         -8.1761512632138411E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7283272833340702E+052         -7.8909967011519983E+031          0.0000000000000000E+000         -7.8909967011519983E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              45          1.9812130342221144E+008          3.9997830117978870E+000          1.5293345380896396E+001          6.4481174541168272E+001          1.2896234908233654E+002          6.7291367736441536E+000          4.9059235183669303E+000         -7.3642308107545551E-001         -8.1719639736655347E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7283076808921251E+052         -7.8913925738387851E+031          0.0000000000000000E+000         -7.8913925738387851E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              50          2.7306346899791312E+008          3.9997009279228029E+000          1.5293136145988420E+001          6.4481615643187695E+001          1.2896323128637539E+002          6.7290447093980044E+000          4.9058563982940928E+000         -7.2666348637171074E-001         -8.1684112578780266E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7282890172464388E+052         -7.8917748110173730E+031          0.0000000000000000E+000         -7.8917748110173730E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              55          3.4395906102321011E+008          3.9996232736402475E+000          1.5292938200962084E+001          6.4482032952590146E+001          1.2896406590518029E+002          6.7289576127476174E+000          4.9057928998811642E+000         -7.1639789299160039E-001         -8.1652522903088176E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7282713605348345E+052         -7.8921366673678974E+031          0.0000000000000000E+000         -7.8921366673678974E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              60          4.0971493421826875E+008          3.9995512467915972E+000          1.5292754599428317E+001          6.4482420030161421E+001          1.2896484006032284E+002          6.7288768272947435E+000          4.9057340026902585E+000         -7.0567756206103105E-001         -8.1624234571999399E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7282549831617231E+052         -7.8924737318940527E+031          0.0000000000000000E+000         -7.8924737318940527E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              65          4.7036449942486089E+008          3.9994848112886459E+000          1.5292585249653246E+001          6.4482777067670696E+001          1.2896555413534139E+002          6.7288023126760867E+000          4.9056796772942324E+000         -6.9455364172944956E-001         -8.1598704511493225E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7282398769673531E+052         -7.8927842288824352E+031          0.0000000000000000E+000         -7.8927842288824352E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              70          5.2651162441603339E+008          3.9994233060991675E+000          1.5292428466832703E+001          6.4483107615751237E+001          1.2896621523150247E+002          6.7287333275706747E+000          4.9056293832279296E+000         -6.8288174182876393E-001         -8.1575382336679625E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7282258916851925E+052         -7.8930721894056822E+031          0.0000000000000000E+000         -7.8930721894056822E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
